step_size,optim_number,x1,x2,x_HJ1,x_HJ2,y,f_calls_HJ,is_global_min_HJ,x_Rosen.1,x_ROsen2,y_Rosen,f_calls_Rosen,is_global_min_Rosen
1,50,-0.2862,0.346204,-0.70058,-0.0681768,0.926932,378,0,0.775083,6.71187e-07,0.620446,378,0
1,51,0.0859398,0.766053,0.0460476,0.726161,0.759142,290,0,3.64981e-07,0.775084,0.620446,290,0
1,52,0.922714,-0.603386,0.76305,-0.76305,1.24987,369,0,-5.05578e-07,1.15066e-07,8.55227e-12,369,1
1,53,-0.70096,-0.66068,-0.0201403,0.0201402,0.0257552,399,0,-0.775083,-6.57106e-07,0.620446,399,0
1,54,0.806004,0.477751,0.164126,-0.164127,1.49655,400,0,0.775084,1.08296e-07,0.620446,400,0
1,55,-0.0246276,-0.079642,0.0275078,-0.0275066,0.0479588,347,0,4.33652e-08,-6.9352e-07,1.53602e-11,347,1
1,56,-0.610286,0.884478,-0.747383,0.747382,1.28793,433,0,3.20072e-07,3.30961e-07,6.74349e-12,433,1
1,57,0.59675,-0.830585,0.713668,-0.713666,1.46462,503,0,-5.22927e-07,-0.775083,0.620446,503,0
1,58,0.837981,0.930658,-0.0463379,0.0463389,0.135161,265,0,-7.53475e-07,-1.60624e-07,1.88809e-11,265,1
1,59,-0.40896,0.274319,-0.727827,-0.0445482,0.750203,518,0,6.8261e-07,-0.775083,0.620446,518,0
1,60,-0.407423,0.277186,-0.728528,-0.0439191,0.746533,354,0,-9.76264e-08,-0.775083,0.620446,354,0
1,61,-0.406422,0.827225,-0.616823,0.616823,2.50232,432,0,-1.08055e-07,0.775084,0.620446,432,0
1,62,-0.342518,0.983742,-0.66313,0.66313,1.93262,381,0,-4.27672e-07,5.12988e-07,1.41898e-11,381,1
1,63,-0.119543,0.538082,0.0565904,0.714216,0.830655,284,0,7.6963e-08,3.16961e-07,3.3844e-12,284,1
1,64,-0.928563,0.749652,-0.839108,0.839107,1.49979,435,0,-3.82909e-07,0.775083,0.620446,435,0
1,65,-0.110506,0.498062,0.0788264,0.687394,1.03251,201,0,2.03814e-07,-2.46756e-07,3.25828e-12,201,1
1,66,-0.661457,-0.889007,0.113774,-0.113775,0.771937,523,0,-2.7513e-07,-8.4514e-07,2.51297e-11,523,1
1,67,0.613654,0.093874,0.633111,0.113331,1.52929,383,0,6.04979e-07,6.28894e-08,1.17688e-11,383,1
1,68,0.81218,0.493678,0.159251,-0.159252,1.42031,392,0,0.775084,4.35894e-07,0.620446,392,0
1,69,-0.0467297,0.516663,0.0978047,0.661198,1.26727,315,0,3.26023e-07,8.23417e-07,2.49498e-11,315,1
1,70,0.115569,-0.211926,0.163748,-0.163747,1.49058,494,0,3.95923e-07,0.775083,0.620446,494,0
1,71,0.132054,-0.742461,0.824323,-0.0501909,0.776221,287,0,3.95654e-07,-0.775084,0.620446,287,0
1,72,-0.901978,0.8161,-0.859038,0.85904,1.68403,235,0,-8.65043e-07,0.775084,0.620446,235,0
1,73,-0.490481,-0.867174,0.188346,-0.188347,1.88666,288,0,8.85712e-07,-1.76442e-07,2.59459e-11,288,1
1,74,0.838434,0.822265,0.00808418,-0.00808504,0.00415707,307,0,1.37064e-07,0.775083,0.620446,307,0
1,75,-0.540788,-0.356478,-0.0921549,0.0921548,0.517887,491,0,5.82662e-07,-6.62361e-07,2.47562e-11,491,1
1,76,-0.356435,0.295448,0.0592524,0.711136,0.851116,505,0,6.3734e-07,-0.775084,0.620446,505,0
1,77,-0.402875,0.0384777,0.10942,0.550772,2.04119,594,0,6.62619e-07,7.32735e-07,3.10467e-11,594,1
1,78,0.0310432,-0.0702641,0.0506546,-0.0506528,0.16117,356,0,-8.01046e-07,6.91674e-07,3.56315e-11,356,1
1,79,-0.492265,-0.717846,0.11279,-0.112791,0.759491,329,0,9.03038e-07,-0.775083,0.620446,329,0
1,80,0.728925,-0.155945,0.0555361,-0.829334,0.810088,282,0,0.775083,-6.65386e-07,0.620446,282,0
1,81,0.854708,0.630126,0.11229,-0.112292,0.753205,353,0,-2.26194e-08,7.46216e-07,1.773e-11,353,1
1,82,0.635014,0.949196,-0.157091,0.157091,1.38685,334,0,2.80456e-07,-9.74168e-08,2.80398e-12,334,1
1,83,0.818526,0.498668,0.15993,-0.159928,1.43085,249,0,0.775084,-6.23433e-07,0.620446,249,0
1,84,0.188835,-0.143257,0.166046,-0.166046,1.52682,436,0,-0.775084,-3.04634e-07,0.620446,436,0
1,85,0.047509,-0.535723,-0.0897145,-0.672947,1.15898,404,0,7.15681e-07,-3.44541e-07,2.00699e-11,404,1
1,86,-0.455028,-0.972449,-0.114036,-0.631456,1.54425,474,0,3.52883e-07,-1.66209e-07,4.84013e-12,474,1
1,87,-0.31452,0.618341,-0.852176,0.0806839,1.00813,293,0,0.775084,-7.5027e-07,0.620446,293,0
1,88,0.577802,-0.917218,0.747509,-0.747511,1.2875,447,0,-6.01105e-07,-6.18957e-07,2.36815e-11,447,1
1,89,0.574274,-0.919622,0.746949,-0.746947,1.28939,389,0,-3.82217e-07,5.34747e-07,1.37439e-11,389,1
1,90,0.752215,-0.343062,0.917668,-0.17761,2.0926,514,0,0.775083,-6.23159e-07,0.620446,514,0
1,91,-0.378966,-0.715688,0.168361,-0.168361,1.56351,269,0,-2.54683e-07,-0.775083,0.620446,269,0
1,92,0.980249,0.647838,0.166206,-0.166205,1.52933,474,0,-6.08778e-07,-1.24034e-07,1.22791e-11,474,1
1,93,-0.269685,0.515084,-0.779964,0.00480563,0.621926,332,0,0.775084,8.46552e-07,0.620446,332,0
1,94,0.491317,0.911153,-0.474352,-0.0545168,2.15349,316,0,-5.26918e-07,9.14176e-07,3.54174e-11,316,1
1,95,-0.768683,0.849882,-0.809283,0.809282,1.31473,393,0,-0.775084,-3.00053e-07,0.620446,393,0
1,96,0.975253,-0.715907,0.84558,-0.84558,1.55445,500,0,7.01141e-07,-0.775083,0.620446,500,0
1,97,-0.154927,0.759984,-0.843712,0.071199,0.926315,470,0,-4.59184e-07,0.775084,0.620446,470,0
1,98,-0.898298,-0.326387,0.0943876,0.666298,1.21984,360,0,5.17827e-07,1.14753e-07,8.94884e-12,360,1
1,99,-0.72882,0.343288,-0.910914,0.161194,1.90831,293,0,-0.775083,-6.89529e-08,0.620446,293,0
0.5,0,-0.639027,0.345208,-0.108544,0.875691,1.2898,354,0,-7.86548e-07,0.775083,0.620446,354,0
0.5,1,-0.934773,0.60887,-0.77182,0.771822,1.24156,382,0,-0.775084,1.66427e-07,0.620446,382,0
0.5,2,-0.0788085,-0.0230605,-0.0278747,0.0278733,0.0492415,381,0,-7.00569e-07,-6.46396e-07,2.89044e-11,381,1
0.5,3,-0.695296,0.682173,-0.688735,0.688734,1.6692,325,0,-0.775083,0.775084,1.24089,325,0
0.5,4,-0.576173,-0.153811,0.0672743,0.489636,2.14402,253,0,9.25031e-07,-6.12501e-07,3.91545e-11,253,1
0.5,5,-0.923792,0.140071,-0.908114,0.155749,1.84441,351,0,-4.57937e-07,-8.59718e-07,3.01832e-11,351,1
0.5,6,-0.100709,-0.606813,-0.11712,-0.623224,1.61687,344,0,5.94309e-07,6.19823e-07,2.34572e-11,344,1
