Czas;VA;VB;TB
153x;3.56038x;2.04558x;48.8299x
154x;3.55178x;2.04988x;48.862x
155x;3.54318x;2.05415x;48.8936x
156x;3.53459x;2.0584x;48.9245x
157x;3.52602x;2.06262x;48.955x
158x;3.51745x;2.06682x;48.9849x
159x;3.5089x;2.07099x;49.0143x
160x;3.50035x;2.07514x;49.0431x
161x;3.49182x;2.07926x;49.0714x
162x;3.48329x;2.08336x;49.0993x
163x;3.47478x;2.08743x;49.1266x
164x;3.46628x;2.09148x;49.1534x
165x;3.45778x;2.0955x;49.1797x
166x;3.4493x;2.0995x;49.2056x
167x;3.44083x;2.10347x;49.2309x
168x;3.43237x;2.10743x;49.2558x
169x;3.42392x;2.11135x;49.2803x
170x;3.41548x;2.11526x;49.3042x
171x;3.40705x;2.11914x;49.3278x
172x;3.39863x;2.12299x;49.3508x
173x;3.39022x;2.12682x;49.3735x
174x;3.38182x;2.13063x;49.3957x
175x;3.37343x;2.13442x;49.4175x
176x;3.36505x;2.13818x;49.4388x
177x;3.35669x;2.14192x;49.4598x
178x;3.34833x;2.14563x;49.4803x
179x;3.33998x;2.14933x;49.5004x
180x;3.33165x;2.153x;49.5202x
181x;3.32332x;2.15664x;49.5395x
182x;3.315x;2.16027x;49.5584x
183x;3.3067x;2.16387x;49.577x
184x;3.2984x;2.16745x;49.5952x
185x;3.29012x;2.171x;49.613x
186x;3.28185x;2.17454x;49.6304x
187x;3.27358x;2.17805x;49.6475x
188x;3.26533x;2.18154x;49.6642x
189x;3.25709x;2.185x;49.6805x
190x;3.24886x;2.18845x;49.6965x
191x;3.24063x;2.19187x;49.7121x
192x;3.23242x;2.19527x;49.7274x
193x;3.22422x;2.19865x;49.7424x
194x;3.21603x;2.20201x;49.757x
195x;3.20785x;2.20534x;49.7713x
196x;3.19968x;2.20866x;49.7853x
197x;3.19152x;2.21195x;49.7989x
198x;3.18337x;2.21522x;49.8122x
199x;3.17523x;2.21847x;49.8252x
200x;3.16711x;2.2217x;49.8379x
201x;3.15899x;2.2249x;49.8503x
202x;3.15088x;2.22809x;49.8624x
203x;3.14278x;2.23125x;49.8741x
204x;3.1347x;2.2344x;49.8856x
205x;3.12662x;2.23752x;49.8968x
206x;3.11856x;2.24062x;49.9077x
207x;3.1105x;2.2437x;49.9183x
208x;3.10246x;2.24676x;49.9286x
209x;3.09442x;2.2498x;49.9387x
210x;3.0864x;2.25282x;49.9484x
211x;3.07839x;2.25582x;49.9579x
212x;3.07038x;2.2588x;49.9671x
213x;3.06239x;2.26176x;49.9761x
214x;3.05441x;2.2647x;49.9847x
215x;3.04644x;2.26762x;49.9932x
216x;3.03847x;2.27051x;50.0013x
217x;3.03052x;2.27339x;50.0092x
218x;3.02258x;2.27625x;50.0169x
219x;3.01465x;2.27909x;50.0242x
220x;3.00673x;2.28191x;50.0314x
221x;2.99882x;2.2847x;50.0383x
222x;2.99092x;2.28748x;50.0449x
223x;2.98304x;2.29024x;50.0513x
224x;2.97516x;2.29298x;50.0575x
225x;2.96729x;2.2957x;50.0635x
226x;2.95943x;2.2984x;50.0692x
227x;2.95159x;2.30109x;50.0746x
228x;2.94375x;2.30375x;50.0799x
229x;2.93592x;2.30639x;50.0849x
230x;2.92811x;2.30902x;50.0897x
231x;2.9203x;2.31162x;50.0943x
232x;2.91251x;2.31421x;50.0986x
233x;2.90472x;2.31678x;50.1028x
234x;2.89695x;2.31933x;50.1067x
235x;2.88919x;2.32186x;50.1104x
236x;2.88143x;2.32437x;50.1139x
237x;2.87369x;2.32686x;50.1172x
238x;2.86596x;2.32933x;50.1203x
239x;2.85824x;2.33179x;50.1232x
